time,abgw_fds,instance
25_05_15:20,563,10.253.40.32:44444
25_05_15:25,552,10.253.40.32:44444
25_05_15:30,466,10.253.40.32:44444
25_05_15:35,515,10.253.40.32:44444
25_05_15:40,540,10.253.40.32:44444
25_05_15:45,527,10.253.40.32:44444
25_05_15:50,491,10.253.40.32:44444
25_05_15:55,495,10.253.40.32:44444
25_05_15:00,68,10.253.40.33:44444
25_05_15:05,90,10.253.40.33:44444
25_05_15:10,77,10.253.40.33:44444
25_05_15:15,73,10.253.40.33:44444
25_05_15:20,67,10.253.40.33:44444
25_05_15:25,60,10.253.40.33:44444
25_05_15:30,53,10.253.40.33:44444
25_05_15:35,22,10.253.40.33:44444
25_05_15:40,6,10.253.40.33:44444
25_05_15:45,10,10.253.40.33:44444
25_05_15:50,15,10.253.40.33:44444
25_05_15:55,16,10.253.40.33:44444
25_05_15:00,27,10.253.40.34:44444
25_05_15:05,44,10.253.40.34:44444
25_05_15:10,54,10.253.40.34:44444
25_05_15:15,107,10.253.40.34:44444
25_05_15:20,103,10.253.40.34:44444
25_05_15:25,77,10.253.40.34:44444
25_05_15:30,23,10.253.40.34:44444
25_05_15:35,29,10.253.40.34:44444
25_05_15:40,39,10.253.40.34:44444
25_05_15:45,32,10.253.40.34:44444
25_05_15:50,32,10.253.40.34:44444
25_05_15:55,40,10.253.40.34:44444
25_05_15:00,78,10.253.40.35:44444
25_05_15:05,114,10.253.40.35:44444
25_05_15:10,125,10.253.40.35:44444
25_05_15:15,111,10.253.40.35:44444
25_05_15:20,101,10.253.40.35:44444
25_05_15:25,60,10.253.40.35:44444
25_05_15:30,65,10.253.40.35:44444
25_05_15:35,55,10.253.40.35:44444
25_05_15:40,59,10.253.40.35:44444
25_05_15:45,60,10.253.40.35:44444
25_05_15:50,59,10.253.40.35:44444
25_05_15:55,43,10.253.40.35:44444
25_05_15:00,101,10.253.40.36:44444
25_05_15:05,116,10.253.40.36:44444
25_05_15:10,58,10.253.40.36:44444
25_05_15:15,62,10.253.40.36:44444
25_05_15:20,54,10.253.40.36:44444
25_05_15:25,42,10.253.40.36:44444
25_05_15:30,29,10.253.40.36:44444
25_05_15:35,13,10.253.40.36:44444
25_05_15:40,7,10.253.40.36:44444
25_05_15:45,10,10.253.40.36:44444
25_05_15:50,21,10.253.40.36:44444
25_05_15:55,22,10.253.40.36:44444
25_05_16:00,552,10.253.40.11:44444
25_05_16:05,574,10.253.40.11:44444
25_05_16:10,571,10.253.40.11:44444
25_05_16:15,568,10.253.40.11:44444
25_05_16:20,518,10.253.40.11:44444
25_05_16:25,486,10.253.40.11:44444
25_05_16:30,494,10.253.40.11:44444
25_05_16:35,527,10.253.40.11:44444
25_05_16:40,515,10.253.40.11:44444
25_05_16:45,505,10.253.40.11:44444
25_05_16:50,532,10.253.40.11:44444
25_05_16:55,529,10.253.40.11:44444
25_05_16:00,550,10.253.40.12:44444
25_05_16:05,557,10.253.40.12:44444
25_05_16:10,551,10.253.40.12:44444
25_05_16:15,531,10.253.40.12:44444
25_05_16:20,539,10.253.40.12:44444
25_05_16:25,587,10.253.40.12:44444
25_05_16:30,603,10.253.40.12:44444
25_05_16:35,598,10.253.40.12:44444
25_05_16:40,579,10.253.40.12:44444
25_05_16:45,572,10.253.40.12:44444
25_05_16:50,613,10.253.40.12:44444
