time,abgw_detached_files,instance
25_05_15:50,0,10.253.40.14:44444
25_05_15:55,0,10.253.40.14:44444
25_05_15:00,0,10.253.40.15:44444
25_05_15:05,0,10.253.40.15:44444
25_05_15:10,0,10.253.40.15:44444
25_05_15:15,0,10.253.40.15:44444
25_05_15:20,0,10.253.40.15:44444
25_05_15:25,2,10.253.40.15:44444
25_05_15:30,0,10.253.40.15:44444
25_05_15:35,0,10.253.40.15:44444
25_05_15:40,0,10.253.40.15:44444
25_05_15:45,0,10.253.40.15:44444
25_05_15:50,3,10.253.40.15:44444
25_05_15:55,0,10.253.40.15:44444
25_05_15:00,0,10.253.40.17:44444
25_05_15:05,0,10.253.40.17:44444
25_05_15:10,0,10.253.40.17:44444
25_05_15:15,0,10.253.40.17:44444
25_05_15:20,0,10.253.40.17:44444
25_05_15:25,0,10.253.40.17:44444
25_05_15:30,0,10.253.40.17:44444
25_05_15:35,0,10.253.40.17:44444
25_05_15:40,0,10.253.40.17:44444
25_05_15:45,0,10.253.40.17:44444
25_05_15:50,0,10.253.40.17:44444
25_05_15:55,0,10.253.40.17:44444
25_05_15:00,0,10.253.40.18:44444
25_05_15:05,0,10.253.40.18:44444
25_05_15:10,0,10.253.40.18:44444
25_05_15:15,0,10.253.40.18:44444
25_05_15:20,0,10.253.40.18:44444
25_05_15:25,0,10.253.40.18:44444
25_05_15:30,0,10.253.40.18:44444
25_05_15:35,0,10.253.40.18:44444
25_05_15:40,0,10.253.40.18:44444
25_05_15:45,0,10.253.40.18:44444
25_05_15:50,0,10.253.40.18:44444
25_05_15:55,0,10.253.40.18:44444
25_05_15:00,0,10.253.40.19:44444
25_05_15:05,0,10.253.40.19:44444
25_05_15:10,0,10.253.40.19:44444
25_05_15:15,0,10.253.40.19:44444
25_05_15:20,0,10.253.40.19:44444
25_05_15:25,0,10.253.40.19:44444
25_05_15:30,0,10.253.40.19:44444
25_05_15:35,0,10.253.40.19:44444
25_05_15:40,0,10.253.40.19:44444
25_05_15:45,0,10.253.40.19:44444
25_05_15:50,0,10.253.40.19:44444
25_05_15:55,1,10.253.40.19:44444
25_05_15:00,0,10.253.40.20:44444
25_05_15:05,0,10.253.40.20:44444
25_05_15:10,0,10.253.40.20:44444
25_05_15:15,0,10.253.40.20:44444
25_05_15:20,0,10.253.40.20:44444
25_05_15:25,0,10.253.40.20:44444
25_05_15:30,0,10.253.40.20:44444
25_05_15:35,0,10.253.40.20:44444
25_05_15:40,0,10.253.40.20:44444
25_05_15:45,0,10.253.40.20:44444
25_05_15:50,1,10.253.40.20:44444
25_05_15:55,0,10.253.40.20:44444
25_05_15:00,0,10.253.40.21:44444
25_05_15:05,0,10.253.40.21:44444
25_05_15:10,0,10.253.40.21:44444
25_05_15:15,0,10.253.40.21:44444
25_05_15:20,0,10.253.40.21:44444
25_05_15:25,1,10.253.40.21:44444
25_05_15:30,0,10.253.40.21:44444
25_05_15:35,0,10.253.40.21:44444
25_05_15:40,0,10.253.40.21:44444
25_05_15:45,0,10.253.40.21:44444
25_05_15:50,0,10.253.40.21:44444
25_05_15:55,2,10.253.40.21:44444
25_05_15:00,0,10.253.40.22:44444
25_05_15:05,0,10.253.40.22:44444
25_05_15:10,0,10.253.40.22:44444
25_05_15:15,0,10.253.40.22:44444
25_05_15:20,0,10.253.40.22:44444
25_05_15:25,0,10.253.40.22:44444
25_05_15:30,0,10.253.40.22:44444
25_05_15:35,0,10.253.40.22:44444
25_05_15:40,0,10.253.40.22:44444
25_05_15:45,0,10.253.40.22:44444
25_05_15:50,0,10.253.40.22:44444
25_05_15:55,0,10.253.40.22:44444
25_05_15:00,0,10.253.40.23:44444
25_05_15:05,0,10.253.40.23:44444
25_05_15:10,0,10.253.40.23:44444
25_05_15:15,0,10.253.40.23:44444
25_05_15:20,0,10.253.40.23:44444
25_05_15:25,0,10.253.40.23:44444
25_05_15:30,0,10.253.40.23:44444
25_05_15:35,2,10.253.40.23:44444
25_05_15:40,0,10.253.40.23:44444
25_05_15:45,1,10.253.40.23:44444
25_05_15:50,0,10.253.40.23:44444
25_05_15:55,0,10.253.40.23:44444
25_05_15:00,0,10.253.40.24:44444
25_05_15:05,0,10.253.40.24:44444
25_05_15:10,0,10.253.40.24:44444
25_05_15:15,0,10.253.40.24:44444
25_05_15:20,0,10.253.40.24:44444
25_05_15:25,0,10.253.40.24:44444
25_05_15:30,0,10.253.40.24:44444
25_05_15:35,0,10.253.40.24:44444
25_05_15:40,2,10.253.40.24:44444
25_05_15:45,0,10.253.40.24:44444
25_05_15:50,0,10.253.40.24:44444
25_05_15:55,0,10.253.40.24:44444
25_05_15:00,0,10.253.40.25:44444
25_05_15:05,0,10.253.40.25:44444
25_05_15:10,0,10.253.40.25:44444
25_05_15:15,0,10.253.40.25:44444
25_05_15:20,0,10.253.40.25:44444
25_05_15:25,0,10.253.40.25:44444
25_05_15:30,0,10.253.40.25:44444
25_05_15:35,0,10.253.40.25:44444
25_05_15:40,0,10.253.40.25:44444
25_05_15:45,0,10.253.40.25:44444
25_05_15:50,0,10.253.40.25:44444
25_05_15:55,0,10.253.40.25:44444
25_05_15:00,0,10.253.40.26:44444
25_05_15:05,0,10.253.40.26:44444
25_05_15:10,0,10.253.40.26:44444
25_05_15:15,0,10.253.40.26:44444
25_05_15:20,0,10.253.40.26:44444
25_05_15:25,0,10.253.40.26:44444
25_05_15:30,0,10.253.40.26:44444
25_05_15:35,0,10.253.40.26:44444
